date,rs_non_null_ticker_count,breakout_and_volume_candidate_count_before_rs,breakout_and_volume_and_rs98_candidate_count
2023-07-03,0,7,0
2023-07-05,0,20,0
2023-07-06,0,9,0
2023-07-07,0,25,0
2023-07-10,0,22,0
2023-07-11,0,50,0
2023-07-12,0,67,0
2023-07-13,0,40,0
2023-07-14,0,16,0
2023-07-17,0,15,0
2023-07-18,0,49,0
2023-07-19,0,65,0
2023-07-20,0,41,0
2023-07-21,0,43,0
2023-07-24,0,20,0
2023-07-25,0,27,0
2023-07-26,0,43,0
2023-07-27,0,38,0
2023-07-28,0,42,0
2023-07-31,0,28,0
2023-08-01,0,29,0
2023-08-02,0,28,0
2023-08-03,0,26,0
2023-08-04,0,29,0
2023-08-07,0,17,0
2023-08-08,0,19,0
2023-08-09,0,19,0
2023-08-10,0,16,0
2023-08-11,0,10,0
2023-08-14,0,8,0
2023-08-15,0,1,0
2023-08-16,0,4,0
2023-08-17,0,1,0
2023-08-18,0,3,0
2023-08-21,0,5,0
2023-08-22,0,4,0
2023-08-23,0,7,0
2023-08-24,0,1,0
2023-08-25,0,5,0
2023-08-28,0,4,0
2023-08-29,0,14,0
2023-08-30,0,10,0
2023-08-31,0,28,0
2023-09-01,0,19,0
2023-09-05,0,24,0
2023-09-06,0,8,0
2023-09-07,0,14,0
2023-09-08,0,26,0
2023-09-11,0,16,0
2023-09-12,0,16,0
2023-09-13,0,16,0
2023-09-14,0,33,0
2023-09-15,0,27,0
2023-09-18,0,15,0
2023-09-19,0,10,0
2023-09-20,0,9,0
2023-09-21,0,5,0
2023-09-22,0,3,0
2023-09-25,0,5,0
2023-09-26,0,1,0
2023-09-27,0,5,0
2023-09-28,0,7,0
2023-09-29,0,2,0
2023-10-02,0,3,0
2023-10-03,0,0,0
2023-10-04,0,3,0
2023-10-05,0,3,0
2023-10-06,0,23,0
2023-10-09,0,14,0
2023-10-10,0,15,0
2023-10-11,0,15,0
2023-10-12,0,21,0
2023-10-13,0,17,0
2023-10-16,0,20,0
2023-10-17,0,47,0
2023-10-18,0,5,0
2023-10-19,0,2,0
2023-10-20,0,1,0
2023-10-23,0,1,0
2023-10-24,0,9,0
2023-10-25,0,5,0
2023-10-26,0,19,0
2023-10-27,0,3,0
2023-10-30,0,2,0
2023-10-31,0,19,0
2023-11-01,0,33,0
2023-11-02,0,83,0
2023-11-03,0,97,0
2023-11-06,0,16,0
2023-11-07,0,20,0
2023-11-08,0,15,0
2023-11-09,0,14,0
2023-11-10,0,27,0
2023-11-13,0,13,0
2023-11-14,0,133,0
2023-11-15,0,68,0
2023-11-16,0,14,0
2023-11-17,0,28,0
2023-11-20,0,23,0
2023-11-21,0,19,0
2023-11-22,0,8,0
2023-11-24,0,1,0
2023-11-27,0,28,0
2023-11-28,0,30,0
2023-11-29,0,64,0
2023-11-30,0,137,0
2023-12-01,0,147,0
2023-12-04,0,107,0
2023-12-05,0,23,0
2023-12-06,0,48,0
2023-12-07,0,30,0
2023-12-08,0,39,0
2023-12-11,0,73,0
2023-12-12,0,45,0
2023-12-13,0,237,0
2023-12-14,0,407,0
2023-12-15,0,78,0
2023-12-18,0,29,0
2023-12-19,0,50,0
2023-12-20,0,10,0
2023-12-21,0,16,0
2023-12-22,0,18,0
2023-12-26,0,8,0
2023-12-27,0,7,0
2023-12-28,0,2,0
2023-12-29,0,4,0
